grid,backend,threads,elapsed_s,speedup,efficiency,mlups
64x64,serial,1,0.2574,1.000,1.000,1.591
64x64,openmp,1,0.3248,0.793,0.793,1.261
64x64,openmp,2,0.2191,1.175,0.587,1.870
64x64,openmp,4,0.1218,2.113,0.528,3.362
64x64,openmp,8,0.1929,1.334,0.167,2.123
128x128,serial,1,1.3047,1.000,1.000,1.256
128x128,openmp,1,1.0368,1.258,1.258,1.580
128x128,openmp,2,0.5804,2.248,1.124,2.823
128x128,openmp,4,0.3844,3.394,0.849,4.262
128x128,openmp,8,0.3201,4.076,0.509,5.118
256x256,serial,1,4.2848,1.000,1.000,1.529
256x256,openmp,1,4.0270,1.064,1.064,1.627
256x256,openmp,2,2.3616,1.814,0.907,2.775
256x256,openmp,4,1.5807,2.711,0.678,4.146
256x256,openmp,8,1.2201,3.512,0.439,5.372
512x512,serial,1,16.4417,1.000,1.000,1.594
512x512,openmp,1,15.7555,1.044,1.044,1.664
512x512,openmp,2,9.4022,1.749,0.874,2.788
512x512,openmp,4,6.0796,2.704,0.676,4.312
512x512,openmp,8,4.7721,3.445,0.431,5.493
